onset	duration	trial_type
10.517	2.533	0back_tools
13.05	2.533	0back_tools
15.583	2.533	0back_tools
18.116	2.533	0back_tools
20.649	2.534	0back_tools
23.183	2.533	0back_tools
25.716	2.533	0back_tools
28.249	2.533	0back_tools
30.782	2.533	0back_tools
33.315	2.517	0back_tools
38.35	2.533	2back_face
40.883	2.533	2back_face
43.416	2.533	2back_face
45.949	2.534	2back_face
48.483	2.533	2back_face
51.016	2.533	2back_face
53.549	2.533	2back_face
56.082	2.533	2back_face
58.615	2.535	2back_face
61.15	2.513	2back_face
81.179	2.533	0back_body
83.712	2.533	0back_body
86.245	2.534	0back_body
88.779	2.533	0back_body
91.312	2.533	0back_body
93.845	2.534	0back_body
96.379	2.532	0back_body
98.911	2.534	0back_body
101.445	2.533	0back_body
103.978	2.516	0back_body
109.011	2.533	2back_tools
111.544	2.533	2back_tools
114.077	2.533	2back_tools
116.61	2.533	2back_tools
119.143	2.534	2back_tools
121.677	2.533	2back_tools
124.21	2.533	2back_tools
126.743	2.533	2back_tools
129.276	2.533	2back_tools
131.809	2.511	2back_tools
151.842	2.534	2back_place
154.376	2.532	2back_place
156.908	2.535	2back_place
159.443	2.531	2back_place
161.974	2.535	2back_place
164.509	2.532	2back_place
167.041	2.534	2back_place
169.575	2.534	2back_place
172.109	2.533	2back_place
174.642	2.515	2back_place
179.674	2.535	0back_face
182.209	2.532	0back_face
184.741	2.534	0back_face
187.275	2.534	0back_face
189.809	2.533	0back_face
192.342	2.533	0back_face
194.875	2.532	0back_face
197.407	2.534	0back_face
199.941	2.532	0back_face
202.473	2.517	0back_face
222.504	2.533	0back_place
225.037	2.534	0back_place
227.571	2.533	0back_place
230.104	2.533	0back_place
232.637	2.533	0back_place
235.17	2.533	0back_place
237.703	2.533	0back_place
240.236	2.534	0back_place
242.77	2.533	0back_place
245.303	2.516	0back_place
250.336	2.533	2back_body
252.869	2.533	2back_body
255.402	2.533	2back_body
257.935	2.533	2back_body
260.468	2.534	2back_body
263.002	2.533	2back_body
265.535	2.533	2back_body
268.068	2.533	2back_body
270.601	2.533	2back_body
273.134	2.513	2back_body
