onset	duration	trial_type
11.0	1.216	right_hand
12.216	1.203	right_hand
13.419	1.214	right_hand
14.633	1.203	right_hand
15.836	1.213	right_hand
17.049	1.203	right_hand
18.252	1.214	right_hand
19.466	1.217	right_hand
20.683	1.216	right_hand
21.899	1.233	right_hand
26.116	1.216	left_foot
27.332	1.203	left_foot
28.535	1.214	left_foot
29.749	1.216	left_foot
30.965	1.203	left_foot
32.168	1.214	left_foot
33.382	1.216	left_foot
34.598	1.203	left_foot
35.801	1.214	left_foot
37.015	1.233	left_foot
41.231	1.203	tongue
42.434	1.214	tongue
43.648	1.216	tongue
44.864	1.203	tongue
46.067	1.214	tongue
47.281	1.203	tongue
48.484	1.213	tongue
49.697	1.203	tongue
50.9	1.214	tongue
52.114	1.233	tongue
56.33	1.203	right_foot
57.533	1.214	right_foot
58.747	1.203	right_foot
59.95	1.213	right_foot
61.163	1.203	right_foot
62.366	1.214	right_foot
63.58	1.203	right_foot
64.783	1.214	right_foot
65.997	1.216	right_foot
67.213	1.233	right_foot
71.43	1.216	left_hand
72.646	1.203	left_hand
73.849	1.214	left_hand
75.063	1.216	left_hand
76.279	1.203	left_hand
77.482	1.214	left_hand
78.696	1.216	left_hand
79.912	1.203	left_hand
81.115	1.214	left_hand
82.329	1.25	left_hand
101.544	1.203	tongue
102.747	1.214	tongue
103.961	1.203	tongue
105.164	1.213	tongue
106.377	1.203	tongue
107.58	1.214	tongue
108.794	1.203	tongue
109.997	1.214	tongue
111.211	1.216	tongue
112.427	1.233	tongue
116.644	1.216	left_foot
117.86	1.203	left_foot
119.063	1.214	left_foot
120.277	1.216	left_foot
121.493	1.203	left_foot
122.696	1.214	left_foot
123.91	1.216	left_foot
125.126	1.203	left_foot
126.329	1.214	left_foot
127.543	1.233	left_foot
131.759	1.203	right_hand
132.962	1.214	right_hand
134.176	1.217	right_hand
135.393	1.216	right_hand
136.609	1.203	right_hand
137.812	1.214	right_hand
139.026	1.216	right_hand
140.242	1.217	right_hand
141.459	1.216	right_hand
142.675	1.234	right_hand
161.891	1.203	left_hand
163.094	1.213	left_hand
164.307	1.203	left_hand
165.51	1.214	left_hand
166.724	1.203	left_hand
167.927	1.213	left_hand
169.14	1.203	left_hand
170.343	1.214	left_hand
171.557	1.217	left_hand
172.774	1.233	left_hand
176.99	1.203	right_foot
178.193	1.213	right_foot
179.406	1.203	right_foot
180.609	1.214	right_foot
181.823	1.203	right_foot
183.026	1.214	right_foot
184.24	1.216	right_foot
185.456	1.203	right_foot
186.659	1.214	right_foot
187.873	1.233	right_foot
