onset	duration	trial_type
8.032	3.549	reward
11.581	3.55	reward
15.131	3.55	punishment
18.681	3.566	reward
22.247	3.567	reward
25.814	3.549	reward
29.363	3.567	neutral
32.93	3.533	reward
51.479	3.549	reward
55.028	3.567	punishment
58.595	3.55	punishment
62.145	3.549	punishment
65.694	3.567	neutral
69.261	3.55	punishment
72.811	3.566	punishment
76.377	3.533	punishment
94.926	3.566	punishment
98.492	3.55	punishment
102.042	3.55	punishment
105.592	3.566	neutral
109.158	3.55	punishment
112.708	3.55	neutral
116.258	3.55	punishment
119.808	3.549	punishment
138.373	3.55	reward
141.923	3.567	reward
145.49	3.549	punishment
149.039	3.567	reward
152.606	3.566	punishment
156.172	3.567	reward
159.739	3.549	reward
163.288	3.533	reward
