onset	duration	trial_type
10.133	4.083	relational
14.216	4.1	relational
18.316	4.117	relational
22.433	4.033	relational
28.516	3.299	control
31.815	3.267	control
35.082	3.266	control
38.348	3.3	control
41.648	3.233	control
62.93	3.3	control
66.23	3.3	control
69.53	3.286	control
72.816	3.28	control
76.096	3.233	control
81.398	4.097	relational
85.495	4.134	relational
89.629	4.066	relational
93.695	4.033	relational
116.16	4.069	relational
120.229	4.097	relational
124.326	4.1	relational
128.426	4.033	relational
134.509	3.285	control
137.794	3.315	control
141.109	3.3	control
144.409	3.3	control
147.709	3.233	control
